Riwayah (Transmission),Transliteration (English Format),Arabic Name
1,Qalun from Nafi',قالون عن نافع
2,Warsh from Nafi',ورش عن نافع
3,Al-Bazzi from Ibn Kathir,البزي عن ابن كثير
4,Qunbul from Ibn Kathir,قنبل عن ابن كثير
5,Al-Duri from Abu 'Amr,الدوري عن أبي عمرو
6,Al-Susi from Abu 'Amr,السوسي عن أبي عمرو
7,Hisham from Ibn 'Amir,هشام عن ابن عامر
8,Ibn Thaqwan from Ibn 'Amir,ابن ذكوان عن ابن عامر
9,Shu'bah from 'Asim,شعبة عن عاصم
10,Hafs from 'Asim,حفص عن عاصم
11,Khalaf from Hamzah,خلف عن حمزة
12,Khallad from Hamzah,خلاد عن حمزة
13,Al-Layth from Al-Kisa'i,الليث عن الكسائي
14,Al-Duri from Al-Kisa'i,الدوري عن الكسائي
15,Ibn Wirdan from Abu Ja'far,ابن وردان عن أبي جعفر
16,Ibn Jummaz from Abu Ja'far,ابن جماز عن أبي جعفر
17,Ruways from Ya'qub,رويس عن يعقوب
18,Rawh from Ya'qub,روح عن يعقوب
19,Ishaq ibn Ibrahim from Khalaf,إسحاق بن إبراهيم عن خلف
20,Idris al-Haddad from Khalaf,إدريس الحداد عن خلف